Strain,Category2,Organism-Roary,BapsOne,BapsTwo,Bazinet-Species,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,Cereulide,bceT,Cytk1,Combined
c-NBCE0001,BreastPad,Bacillus cereus,1,1,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0511,BreastPad,Bacillus cereus,3,16,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0512,BreastPad,Bacillus cereus,3,16,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0513,BreastPad,Bacillus cereus,7,32,Phenotypic Bacillus cereus,PhospholipaseC,nhe,,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0514,BreastPad,Bacillus cereus,3,16,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0515,BreastPad,Bacillus cereus,3,16,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0516,BreastPad,Bacillus cereus,12,49,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0517,BreastPad,Bacillus cereus,12,49,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0518,BreastPad,Bacillus cereus,12,49,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0519,BreastPad,Bacillus cereus,12,49,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0520,BreastPad,Bacillus cereus,12,49,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0521,BreastPad,Bacillus cereus,7,33,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0522,BreastPad,Bacillus cereus,7,33,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0523,BreastPad,Bacillus cereus,7,33,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0524,BreastPad,Bacillus cereus,7,33,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0525,BreastPad,Bacillus cereus,7,33,Phenotypic Bacillus cereus,,nhe,HemolysinIII,HemolysinII,,HBL,EntFM,,,Cytk1,Combined
